ID,LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT4,PAY_AMT5,PAY_AMT6,Pay%1,Pay%2,Pay%3,default,FICO
254,160000,2,1,2,28,7222,99669,84426,99669,12611,11111,13.8,0.13,0.13,0,MT700
260,220000,1,1,1,48,169115,172169,162412,5511,6111,5511,0.03,0.04,0.03,1,MT700
289,1.00E+05,2,2,2,25,69856,69718,51365,2127,1961,1559,0.03,0.03,0.03,1,LT500
290,240000,2,2,1,46,11765,11765,4311,1111,1111,1111,0.09,0.09,0.26,0,MT700
294,10000,1,2,2,27,9911,9963,11182,371,393,711,0.04,0.04,0.06,1,LT500
301,1.00E+05,1,2,2,37,66926,66796,64513,2365,2497,2315,0.04,0.04,0.04,0,MT700
313,20000,1,1,2,40,11411,13157,14341,3111,1511,1,0.27,0.11,0,0,MT700
329,340000,1,2,1,55,2191,24599,7416,24599,7416,77195,11.23,0.3,10.41,0,MT700
340,120000,2,1,2,34,1111,1331,831,1331,3811,2137,1.2,2.86,2.57,0,MT700
345,180000,2,1,2,26,115894,118248,116517,4116,4251,4128,0.04,0.04,0.04,0,MT700
347,1.00E+05,2,2,2,26,3542,1981,3981,1181,2111,1525,0.33,1.07,0.38,0,MT700
357,240000,2,2,2,26,113133,113966,113361,4111,3825,3521,0.04,0.03,0.03,0,MT700
362,320000,2,2,2,30,72849,74374,74611,2661,2781,2511,0.04,0.04,0.03,0,MT700
365,230000,2,1,2,35,665,576,613,576,613,521,0.87,1.06,0.85,0,MT700
368,10000,1,2,2,24,2813,2118,2132,1,151,1,0,0.07,0,0,MT700
370,20000,2,2,1,32,11184,11918,11985,391,632,616,0.03,0.05,0.05,1,LT500
372,160000,1,1,2,30,8578,13128,21712,13128,29712,51111,1.53,2.26,2.35,0,MT700
375,180000,1,1,1,46,116288,28189,178719,5141,161719,7111,0.04,5.74,0.04,0,MT700
379,210000,1,1,2,30,44584,47842,49888,4111,3111,11111,0.09,0.07,0.22,0,MT700
380,50000,1,2,2,31,9577,11139,12487,3111,3111,5111,0.32,0.28,0.41,1,LT500
415,480000,2,3,1,41,9133,19371,22593,19371,22593,2111,2.12,1.17,0.09,0,MT700
422,440000,2,1,2,29,156977,157963,151936,6113,6128,6111,0.04,0.04,0.04,0,MT700
436,270000,2,2,1,32,217644,223691,221413,16111,8111,1,0.07,0.04,0,1,MT700
445,240000,1,1,2,44,211643,194411,198857,8111,8111,7111,0.04,0.04,0.04,1,LT500
447,160000,2,1,2,28,91983,82255,83988,2411,2511,2511,0.03,0.03,0.03,0,MT700
454,2.00E+05,2,1,2,26,1443,1443,871,1443,871,2115,1,0.6,2.43,0,MT700
459,230000,2,2,1,41,8162,6985,9131,6985,9131,6554,0.86,1.31,0.72,0,MT700
461,180000,2,2,1,38,123122,126175,126219,5111,5111,5111,0.04,0.04,0.04,0,MT700
467,220000,1,1,2,38,218541,167743,165311,6729,6111,7119,0.03,0.04,0.04,1,LT500
477,50000,1,1,2,44,28513,29116,29638,1213,1166,1111,0.04,0.04,0.04,0,MT700
483,70000,2,2,2,28,37876,6736,4162,6736,1,1,0.18,0,0,0,LT500
490,260000,2,1,1,34,3885,4414,2514,4414,2646,7725,1.14,0.6,3.07,0,MT700
492,30000,2,2,1,43,24368,21859,19633,1,911,811,0,0.04,0.04,0,MT700
497,2.00E+05,2,3,2,47,196814,211526,198717,7128,8111,7111,0.04,0.04,0.04,0,MT700
498,20000,1,2,2,23,18848,31191,19664,1125,1113,114,0.06,0.04,0.01,0,MT700
514,50000,1,2,2,23,31924,32566,33181,1311,1211,1511,0.04,0.04,0.05,1,LT500
522,410000,2,2,2,27,44311,62418,61421,18775,15111,5351,0.42,0.24,0.09,0,MT700
532,50000,1,2,3,30,17711,18179,18312,813,673,637,0.05,0.04,0.03,0,MT700
550,120000,1,1,2,27,35424,31761,31214,4111,5111,3511,0.12,0.16,0.11,0,MT700
551,1.00E+05,1,3,1,52,6781,6144,7638,1,2111,2111,0,0.34,0.28,1,LT500
560,210000,2,3,1,53,61466,61593,65163,2255,4767,1,0.04,0.08,0,0,MT700
561,270000,1,1,2,34,6621,2457,14923,2457,14923,1712,0.37,6.07,0.11,0,MT700
578,80000,1,1,2,31,4182,538,4185,1,4185,1,0,7.78,0,0,MT700
579,50000,1,2,2,36,7131,6987,6981,511,511,1111,0.07,0.07,0.16,0,MT700
589,130000,2,2,2,29,45584,46516,47455,1319,1336,1365,0.03,0.03,0.03,0,MT700
591,230000,2,1,1,30,65841,56538,51522,2111,2111,11111,0.03,0.04,0.22,0,MT700
593,50000,1,1,1,35,7116,6121,9111,249,4383,172,0.03,0.72,0.02,0,MT700
595,110000,1,3,2,46,59756,61114,62213,2362,2374,2454,0.04,0.04,0.04,0,MT700
596,2.00E+05,1,1,1,43,135253,134629,134319,4844,5112,4912,0.04,0.04,0.04,0,MT700
599,80000,2,2,2,24,58886,61135,57264,2511,2311,2211,0.04,0.04,0.04,0,MT700
626,20000,2,2,2,24,15916,15519,15829,1,568,1327,0,0.04,0.08,0,MT700
635,110000,1,3,1,56,31452,22628,23468,2171,3198,4976,0.07,0.14,0.21,0,MT700
637,50000,2,3,1,49,6918,6941,4756,1511,2151,1,0.22,0.31,0,0,MT700
638,50000,1,2,1,41,19894,18811,18815,681,694,618,0.03,0.04,0.03,0,MT700
640,170000,1,2,2,31,55888,53672,51461,3111,3111,3111,0.06,0.06,0.06,0,MT700
649,280000,2,2,1,44,195517,199251,195874,7111,1,15111,0.04,0,0.08,1,LT500
652,240000,2,2,2,26,7511,7511,14497,7511,14497,511,1,1.93,0.04,0,MT700
655,10000,1,2,2,33,7624,8149,6857,1111,1111,1511,0.15,0.14,0.22,0,MT700
666,130000,2,3,1,43,98171,97743,111124,3562,4121,3681,0.04,0.04,0.03,0,MT700
672,20000,1,2,1,34,15642,16387,17113,1111,1111,1111,0.07,0.07,0.06,1,MT700
675,320000,2,1,1,41,112284,114191,115859,3711,3751,3511,0.03,0.03,0.03,0,MT700
678,2.00E+05,1,1,2,28,149573,152574,156323,6111,7111,11111,0.04,0.05,0.07,0,MT700
680,30000,2,1,2,56,7124,7124,7124,7124,7124,7124,1,1,1,0,MT700
689,140000,1,1,1,40,131735,133467,136287,4581,4771,4767,0.03,0.04,0.03,0,MT700
693,2.00E+05,2,2,1,29,119136,122211,125121,5111,5111,5111,0.04,0.04,0.04,1,LT500
699,280000,1,1,1,41,35752,3955,13969,3955,13939,4437,0.11,3.52,0.32,0,MT700
708,30000,2,3,1,46,12758,13549,14673,1111,1511,1,0.09,0.11,0,0,MT700
709,20000,1,2,2,24,688,688,1321,1,651,1,0,0.95,0,0,MT700
716,50000,2,2,1,49,32114,33573,29645,2111,1645,1164,0.07,0.05,0.04,0,MT700
723,180000,2,1,2,27,3333,3333,3333,3333,3333,3333,1,1,1,0,MT700
727,360000,2,2,2,39,8894,5329,998,5355,998,9114,0.6,0.19,9.13,0,MT700
738,610000,2,1,2,31,58397,115311,115965,51111,4711,2111,0.88,0.04,0.02,0,MT700
739,110000,2,1,2,25,85723,86443,84111,3238,3167,3212,0.04,0.04,0.04,0,MT700
743,140000,2,1,1,51,55124,55883,55744,2173,1919,2132,0.04,0.03,0.04,0,MT700
746,170000,1,3,2,38,25556,29949,34434,5111,5111,5111,0.2,0.17,0.15,0,MT700
765,240000,2,2,1,33,242579,238245,233711,11111,11111,8111,0.05,0.05,0.03,0,MT700
789,80000,1,2,2,29,14361,14657,4129,359,175,1111,0.02,0.01,0.27,0,LT500
796,1.00E+05,2,2,1,30,76715,78168,81347,3511,3511,3211,0.05,0.04,0.04,0,MT700
800,210000,2,2,1,35,32331,31337,28112,1342,1138,2111,0.04,0.04,0.08,0,MT700
807,80000,2,2,2,23,1145,7328,3713,7329,3714,426,6.4,0.51,0.11,0,MT700
817,70000,1,3,1,51,51361,49185,47245,1911,2219,2111,0.04,0.05,0.04,1,LT500
820,60000,1,1,2,30,17912,18481,18848,1111,1111,1111,0.06,0.06,0.06,0,MT700
828,10000,1,2,2,37,8164,6963,5923,1,2711,1,0,0.39,0,0,MT700
846,490000,2,1,1,38,6127,11722,8452,11722,6111,1139,1.91,0.52,0.13,0,MT700
849,150000,1,3,1,37,147989,143355,143131,1,4388,4221,0,0.03,0.03,1,LT500
866,30000,2,2,1,46,27738,27268,27419,995,989,811,0.04,0.04,0.03,0,MT700
877,150000,1,1,2,33,59244,64196,68837,6111,6111,6111,0.1,0.1,0.09,0,MT700
880,20000,2,2,1,43,17776,19293,18844,1811,1,1111,0.1,0,0.06,0,LT500
883,230000,2,1,2,38,128191,131883,133514,4711,4751,4911,0.04,0.04,0.04,0,MT700
886,70000,2,2,2,23,55151,57198,59141,3111,3111,4711,0.06,0.05,0.08,0,MT700
898,170000,2,1,2,28,138614,136283,145112,1,11111,5656,0,0.08,0.04,1,LT500
899,90000,2,3,3,51,14276,13914,14184,1,511,525,0,0.04,0.04,1,LT500
903,220000,1,2,2,25,51317,51926,34618,1111,2111,2111,0.02,0.04,0.06,0,MT700
911,90000,2,1,2,25,88533,91942,88813,4111,3611,4111,0.05,0.04,0.05,0,MT700
926,180000,1,1,2,27,13441,13441,13181,1,1,1,0,0,0,1,LT500
954,180000,1,2,2,39,5818,2628,2628,2628,1,1,0.45,0,0,0,LT500
956,160000,1,1,1,41,18187,17499,19939,1,3111,1,0,0.18,0,0,MT700
957,210000,2,2,2,30,13464,119722,115573,99111,3745,4111,7.36,0.03,0.04,0,MT700
965,50000,1,2,2,24,11117,6479,6187,3119,3116,3118,0.28,0.48,0.5,0,MT700
972,130000,2,2,1,33,111817,111183,111597,3952,3911,4111,0.04,0.04,0.04,0,MT700
1002,2.00E+05,2,2,1,28,97141,113541,3632,6511,91,1514,0.07,0,0.42,0,LT500
1024,2.00E+05,2,1,1,35,17865,18239,14527,592,817,679,0.03,0.04,0.05,0,MT700
1030,30000,2,2,1,67,29499,31124,26855,1211,1,2312,0.04,0,0.09,1,LT500
1032,170000,1,1,2,33,2499,1511,611,1511,611,2111,0.6,0.4,3.45,0,MT700
1034,2.00E+05,2,2,2,35,68752,71485,71887,3111,2575,3111,0.05,0.04,0.04,0,MT700
1037,150000,1,1,2,23,76986,78138,78321,3511,3111,3111,0.05,0.04,0.04,0,MT700
1038,180000,1,3,1,54,111431,98182,84598,3415,2887,2412,0.03,0.03,0.03,1,LT500
1040,50000,1,3,2,24,18115,18495,18814,659,1111,1111,0.04,0.06,0.06,0,MT700
1046,30000,2,1,2,23,22293,17155,13471,3511,2111,1111,0.16,0.12,0.08,0,MT700
1050,1.00E+05,1,2,1,49,22161,18842,17123,558,1144,12,0.03,0.06,0,0,MT700
1058,20000,2,2,1,29,14215,15869,16666,2111,1111,1111,0.15,0.07,0.07,0,MT700
1064,3.00E+05,1,1,1,42,48128,51332,23688,5191,12139,111247,0.11,0.24,4.7,0,MT700
1065,30000,2,3,1,55,31377,31155,31198,1155,2611,1,0.04,0.08,0,1,LT500
1071,230000,1,1,1,61,4932,2783,7411,2791,7433,4527,0.57,2.67,0.61,0,MT700
1082,10000,1,2,1,32,9181,11152,11191,1122,351,1,0.12,0.03,0,0,MT700
1085,80000,2,2,2,23,51573,49161,33931,2149,2118,1217,0.04,0.04,0.04,0,MT700
1104,150000,2,3,2,28,683,3486,5391,3486,5391,1211,5.1,1.55,0.22,0,MT700
1105,20000,2,2,1,35,21419,19289,19611,1,781,711,0,0.04,0.04,1,LT500
1115,50000,1,3,1,54,41682,42857,45581,2111,3611,1,0.05,0.08,0,0,MT700
1117,150000,2,2,2,37,43832,33963,34638,1233,1241,1284,0.03,0.04,0.04,1,LT500
1124,2.00E+05,2,2,1,41,11461,8151,5584,183,5584,888,0.02,0.69,0.16,0,MT700
1125,1.00E+05,2,2,2,29,91289,92485,95631,3111,4111,5111,0.03,0.04,0.05,0,MT700
1143,2.00E+05,2,1,1,39,6864,5253,3388,11,21,11911,0,0,3.52,0,LT500
1147,70000,2,1,2,31,2411,2411,2411,1,1,1,0,0,0,1,LT500
1153,180000,2,2,2,42,52917,54123,55176,2211,2111,2211,0.04,0.04,0.04,1,MT700
1155,20000,1,3,1,47,15422,19279,9537,9537,1,1,0.62,0,0,0,LT500
1172,80000,1,3,1,62,672,5112,3932,5112,3932,21289,7.61,0.77,5.41,0,MT700
1180,50000,1,2,2,24,18311,17931,18633,1111,1111,1111,0.06,0.06,0.06,0,MT700
1195,1.00E+05,2,3,1,66,97141,97143,97532,3865,3851,3715,0.04,0.04,0.04,0,MT700
1205,210000,2,2,1,50,112127,113453,113651,3553,3625,3471,0.03,0.03,0.03,0,MT700
1210,20000,1,3,1,23,19844,21388,19554,813,747,155,0.04,0.03,0.01,1,LT500
1213,290000,2,1,1,30,1486,1488,1651,1495,1657,35267,1.01,1.11,21.36,1,LT500
1224,150000,2,2,1,42,3935,3935,3935,3935,3935,3935,1,1,1,1,LT500
1229,90000,2,2,1,23,25195,23769,2269,7111,1111,1,0.28,0.05,0,1,LT500
1250,350000,2,1,1,52,2411,2411,2411,1,1,1,0,0,0,1,LT500
1254,1.00E+05,1,2,2,30,49496,51111,32631,2111,2111,2111,0.04,0.04,0.06,0,MT700
1258,180000,2,1,2,28,2861,12338,9124,13959,3111,18396,4.88,0.25,2.02,0,MT700
1267,220000,2,2,1,32,218355,213115,217475,8111,8111,8511,0.04,0.04,0.04,0,MT700
1268,70000,2,2,2,34,26456,28361,31873,2511,4111,1,0.09,0.14,0,0,MT700
1273,370000,2,1,1,53,31751,31131,9631,31131,1,1,0.98,0,0,0,LT500
1281,2.00E+05,2,1,2,31,48661,49723,51896,2111,2111,11128,0.04,0.04,0.21,0,MT700
1295,3.00E+05,1,2,2,41,1411,6297,977,6297,1,19481,4.46,0,19.94,0,LT500
1317,5.00E+05,1,2,1,49,116446,9335,3312,9335,3312,43664,0.08,0.35,13.18,0,MT700
1347,220000,2,2,1,49,163783,161816,158866,5618,6511,6111,0.03,0.04,0.04,0,MT700
1349,3.00E+05,2,1,2,34,8159,3425,11861,3425,11861,7595,0.42,3.46,0.64,0,MT700
1363,260000,2,2,1,37,248273,119124,132619,4321,21111,27,0.02,0.18,0,1,LT500
1365,120000,1,1,1,46,18536,19191,19629,1111,1111,1,0.06,0.06,0,0,MT700
1372,180000,2,2,2,30,22355,22912,15373,11912,3511,5493,0.53,0.15,0.36,0,MT700
1391,60000,1,2,1,37,29729,31515,32232,1411,2411,2311,0.05,0.08,0.07,1,LT500
1397,180000,2,2,2,24,111345,98414,112461,1,7414,1,0,0.08,0,1,LT500
1402,30000,1,2,1,36,28313,28932,29565,1111,1116,1,0.04,0.04,0,0,MT700
1408,150000,2,2,1,41,81757,83685,81569,4111,3173,3115,0.05,0.04,0.04,0,MT700
1409,220000,2,2,2,25,123266,125736,128342,4511,5111,4473,0.04,0.04,0.03,1,LT500
1414,240000,1,2,1,30,3518,1281,5911,1281,5911,1319,0.36,4.61,0.22,0,MT700
1415,420000,2,2,2,25,112715,111357,118316,4186,3811,3611,0.04,0.03,0.03,0,MT700
1420,230000,1,3,2,27,11111,11111,11111,11111,11111,11111,1,1,1,0,MT700
1426,120000,1,1,2,27,9474,11158,2551,1111,2111,3111,0.12,0.19,1.22,0,MT700
1441,70000,2,1,2,24,51648,55419,54366,4611,1,2311,0.09,0,0.04,0,LT500
1442,210000,2,1,1,33,11955,11217,11367,552,617,1511,0.05,0.06,0.13,0,MT700
1451,40000,2,2,1,25,13531,13811,14132,648,711,711,0.05,0.05,0.05,0,MT700
1455,30000,1,2,2,26,32167,31728,31161,1311,1261,1113,0.04,0.04,0.04,0,MT700
1456,20000,1,2,1,32,19351,21411,19947,1512,1,545,0.08,0,0.03,0,LT500
1475,110000,2,3,2,29,116916,118952,111444,4111,4631,4414,0.04,0.04,0.04,1,LT500
1478,50000,1,2,2,44,8711,8893,9171,322,324,335,0.04,0.04,0.04,0,MT700
1488,60000,1,2,1,41,19544,11989,9179,8,9381,1156,0,0.78,0.13,0,MT700
1489,50000,1,1,2,28,49447,44167,44761,2111,2111,2111,0.04,0.05,0.05,1,LT500
1490,50000,2,1,2,29,13922,13556,14528,1,1211,1,0,0.09,0,1,LT500
1496,170000,1,2,1,36,37938,25292,12646,1,1,173869,0,0,13.75,0,LT500
1498,130000,2,2,1,34,63811,65312,37838,2671,1342,1815,0.04,0.02,0.05,0,MT700
1512,20000,1,3,1,34,18125,18517,19163,672,864,1516,0.04,0.05,0.08,0,MT700
1520,420000,1,2,1,39,122851,126117,129144,5111,5111,4711,0.04,0.04,0.04,0,MT700
1527,90000,2,2,1,25,68186,69111,71341,3111,2611,3111,0.05,0.04,0.04,1,LT500
1536,50000,1,3,1,48,26832,27395,27941,994,1111,1113,0.04,0.04,0.04,0,MT700
1543,120000,2,3,1,30,119599,121888,117881,4811,4423,4181,0.04,0.04,0.04,0,MT700
1548,50000,2,2,2,23,28115,27529,29896,1,3111,896,0,0.11,0.03,0,MT700
1556,340000,1,1,1,52,31111,11766,33887,11766,33915,31211,0.38,2.88,0.92,1,LT500
1564,30000,2,3,1,56,24396,24917,25555,913,1161,942,0.04,0.05,0.04,0,MT700
1576,230000,2,2,2,25,87654,91172,86851,4111,3111,3111,0.05,0.03,0.04,0,MT700
1582,20000,1,3,3,47,19464,18126,18827,711,1611,1,0.04,0.09,0,0,MT700
1586,1.00E+05,1,3,2,52,11793,5319,911,1,911,511,0,0.17,0.56,0,MT700
1590,80000,2,2,1,50,48753,51111,49219,2111,1933,1711,0.04,0.04,0.03,0,MT700
1591,50000,2,3,1,48,8588,9291,11127,1111,2111,2111,0.13,0.23,0.19,0,MT700
1596,480000,2,2,1,35,188956,179179,181746,1,9111,51111,0,0.05,0.28,0,MT700
1598,110000,2,1,2,29,116665,92417,91731,3511,9511,9611,0.03,0.1,0.1,0,MT700
1600,50000,1,1,2,33,8585,8797,9111,511,511,491,0.06,0.06,0.05,1,LT500
1625,180000,1,1,2,37,34114,35792,36645,2511,1611,2111,0.07,0.05,0.06,0,MT700
1626,20000,1,3,1,63,17128,16725,17263,1,811,772,0,0.05,0.04,1,LT500
1631,2.00E+05,1,1,2,34,95859,99593,111834,4524,3184,3242,0.05,0.03,0.03,0,MT700
1633,250000,2,1,2,32,11875,3328,1461,3336,1461,1111,0.28,0.44,0.76,0,MT700
1634,80000,2,1,2,38,1741,2191,518,2191,518,5162,1.26,0.24,9.97,0,MT700
1646,50000,1,2,1,48,18825,18119,18124,1111,711,611,0.06,0.04,0.03,1,LT500
1652,170000,1,1,2,26,1591,3524,8545,3524,8545,1485,2.21,2.42,0.17,0,MT700
1655,50000,1,2,2,30,19823,13645,11876,1511,1111,1511,0.08,0.08,0.13,0,MT700
1661,50000,2,3,1,55,47579,47567,48155,2111,1911,1911,0.04,0.04,0.04,0,MT700
1673,290000,1,3,2,32,1111,28661,8976,9948,8974,175111,8.95,0.31,19.51,0,MT700
1680,50000,2,2,2,24,27416,27836,28473,1111,1111,981,0.04,0.04,0.03,0,MT700
1689,20000,1,2,2,23,17548,17992,31151,611,4111,4111,0.03,0.23,0.13,0,MT700
1697,20000,1,2,1,35,21427,19377,19386,1511,911,1111,0.07,0.05,0.06,1,LT500
1705,60000,2,1,2,24,37311,37428,38187,1354,1377,1514,0.04,0.04,0.04,0,MT700
1727,50000,2,3,1,54,53936,51741,49143,1993,1614,1789,0.04,0.03,0.04,0,MT700
1730,70000,1,2,1,41,35651,36427,37169,1511,1511,3111,0.04,0.04,0.08,0,MT700
1741,140000,1,1,1,54,74388,92555,86993,86417,3936,48391,1.16,0.04,0.56,1,LT500
1746,50000,2,1,2,22,11114,9218,11175,511,1111,511,0.05,0.12,0.05,0,MT700
1751,260000,2,2,1,40,77215,79331,81483,3511,3615,3751,0.05,0.05,0.05,0,MT700
1770,50000,2,2,1,46,6592,5185,1151,5396,1151,1,0.82,0.22,0,1,LT500
1779,50000,1,2,2,26,5124,6874,7654,2111,1111,1979,0.41,0.16,0.26,0,MT700
1790,110000,1,2,2,26,47332,45171,47192,2111,3111,4116,0.04,0.07,0.09,0,MT700
1791,180000,2,1,1,44,31848,15521,558,15521,558,26733,0.49,0.04,47.91,0,MT700
1795,120000,2,3,2,37,776,776,776,776,776,776,1,1,1,1,LT500
1804,20000,2,1,2,31,1357,1357,4511,1357,4511,1357,1,3.32,0.3,0,MT700
1806,250000,1,2,1,30,37145,46733,46963,46873,47114,52448,1.26,1.01,1.12,0,MT700
1827,260000,2,2,1,35,452162,258111,221781,9279,6178,1,0.02,0.02,0,1,LT500
1828,50000,1,3,1,32,18891,19443,19478,1111,1111,717,0.06,0.06,0.04,0,MT700
1835,2.00E+05,2,1,1,35,3311,1921,2731,1921,2731,1,0.58,1.42,0,0,MT700
1839,110000,2,2,2,36,74171,71112,62256,8311,5111,5111,0.11,0.07,0.08,0,MT700
1854,2.00E+05,2,1,2,27,9423,9726,11171,9726,11171,7976,1.03,1.15,0.71,0,MT700
1857,540000,2,1,2,34,946,946,946,946,946,946,1,1,1,0,MT700
1862,10000,1,2,2,35,7481,7175,6815,1,1,711,0,0,0.1,1,LT500
1865,420000,2,2,2,35,14156,9158,3281,9158,3281,5971,0.65,0.36,1.82,0,MT700
1870,40000,2,2,1,23,36173,36796,37288,1511,1411,1511,0.04,0.04,0.04,1,LT500
1878,310000,1,2,1,29,62473,69837,69898,11156,3111,4377,0.18,0.04,0.06,0,MT700
1881,90000,2,3,1,40,46589,47731,49488,1888,2711,1511,0.04,0.06,0.03,0,MT700
1892,150000,1,1,1,30,2145,17111,23698,17111,23698,411,7.98,1.38,0.02,0,MT700
1902,110000,2,2,2,42,49299,47126,48215,2111,2251,1211,0.04,0.05,0.03,0,MT700
1924,360000,2,1,2,30,146117,145884,147645,5111,5111,4511,0.03,0.04,0.03,0,MT700
1929,50000,1,2,2,35,21759,22421,23161,1111,1111,1213,0.05,0.05,0.05,0,MT700
1949,90000,1,2,2,39,4718,5111,5128,5111,511,511,1.08,0.1,0.1,0,MT700
1951,90000,2,1,2,28,89335,19715,4719,11111,4719,82411,0.12,0.24,17.46,0,MT700
1960,70000,2,3,1,57,49113,45831,46769,1711,1711,2111,0.03,0.04,0.05,0,MT700
1962,130000,2,3,2,53,17255,11411,18776,11411,18776,2944,0.66,1.65,0.16,0,MT700
1967,90000,1,2,1,29,2442,48163,48186,48112,1756,1894,19.7,0.04,0.04,0,MT700
1968,170000,2,3,1,37,99297,59888,44262,5111,5111,21111,0.05,0.09,0.48,0,MT700
1969,70000,1,1,2,30,35986,36915,37641,1511,1511,1576,0.04,0.04,0.04,1,LT500
1982,80000,2,3,2,40,42264,43183,43471,1611,1211,2111,0.04,0.03,0.05,1,LT500
1996,180000,2,1,2,43,22928,3129,2398,1,2398,23149,0,0.77,9.65,0,MT700
1999,140000,2,2,1,34,113337,115942,111831,4511,4111,4211,0.04,0.04,0.04,0,MT700
2002,20000,1,1,1,52,781,781,11411,1,11411,1,0,14.61,0,0,MT700
2003,50000,2,1,2,23,18611,19138,18319,847,655,711,0.05,0.03,0.04,0,MT700
2019,80000,2,3,1,35,28964,13159,13488,1111,646,2111,0.04,0.05,0.16,0,MT700
2030,30000,2,2,1,24,31172,24147,4117,483,81,1,0.02,0,0,1,LT500
2033,5.00E+05,2,1,1,34,111294,118964,113548,5111,5111,31111,0.05,0.04,0.27,0,MT700
2059,1.00E+05,1,1,1,35,21217,19745,21263,1,1111,1111,0,0.06,0.05,0,MT700
2063,80000,2,2,1,30,8969,8529,8737,1111,351,511,0.12,0.04,0.06,0,MT700
2073,50000,1,2,2,40,2127,15191,14178,31525,477,688,14.82,0.03,0.05,0,MT700
2074,250000,1,2,1,50,8142,16114,5617,16114,5617,391,1.98,0.35,0.07,0,MT700
2080,230000,1,1,1,43,13148,12834,13861,1,1211,1,0,0.09,0,0,MT700
2100,50000,2,1,2,24,43165,37967,36327,1491,1313,2111,0.03,0.03,0.06,1,LT500
2103,10000,2,3,1,53,3856,4391,4171,911,1,911,0.24,0,0.22,1,LT500
2115,70000,2,2,1,44,14123,13754,14724,1,1211,1,0,0.09,0,1,LT500
2123,50000,1,1,2,36,18853,19415,19237,1111,811,1111,0.06,0.04,0.06,0,MT700
2127,210000,2,1,2,30,75195,76886,78614,3111,3111,3111,0.04,0.04,0.04,0,MT700
2132,50000,1,2,2,42,48311,51851,51153,3511,3111,4111,0.07,0.06,0.08,0,MT700
